Date,Open,High,Low,Close,Volume
20241210  11:45:00,604.42,604.54,604.31,604.51,1275
20241210  11:50:00,604.5,604.71,604.39,604.4,1233
20241210  11:55:00,604.4,604.64,604.32,604.57,1182
20241210  12:00:00,604.56,604.59,604.41,604.52,1039
20241210  12:05:00,604.52,604.72,604.46,604.69,1009
20241210  12:10:00,604.69,604.78,604.3,604.3,984
20241210  12:15:00,604.3,604.38,604.18,604.26,2344
20241210  12:20:00,604.27,604.59,604.27,604.53,1608
20241210  12:25:00,604.51,604.69,604.43,604.52,1105
20241210  12:30:00,604.5,605.01,604.5,604.99,1097
20241210  12:35:00,604.98,605.02,604.81,604.81,1068
20241210  12:40:00,604.82,604.87,604.68,604.79,774
